model,batch,lr,pretrain,augment,best
CNN,64,0.001,FALSE,FALSE,89.64
CNN,64,0.001,FALSE,TRUE,35.96
CNN,64,0.001,TRUE,FALSE,89.64
CNN,64,0.001,TRUE,TRUE,35.96
CNN,64,0.0001,FALSE,FALSE,89.08
CNN,64,0.0001,FALSE,TRUE,39.15
CNN,64,0.0001,TRUE,FALSE,89.08
CNN,64,0.0001,TRUE,TRUE,39.15
CNN,256,0.001,FALSE,FALSE,90.23
CNN,256,0.001,FALSE,TRUE,37.46
CNN,256,0.001,TRUE,FALSE,90.23
CNN,256,0.001,TRUE,TRUE,37.46
CNN,256,0.0001,FALSE,FALSE,87.45
CNN,256,0.0001,FALSE,TRUE,45.08
CNN,256,0.0001,TRUE,FALSE,87.45
CNN,256,0.0001,TRUE,TRUE,45.08
resnet18,64,0.001,FALSE,FALSE,91.61
resnet18,64,0.001,FALSE,TRUE,61.55
resnet18,64,0.001,TRUE,FALSE,92.1
resnet18,64,0.001,TRUE,TRUE,68.27
resnet18,64,0.0001,FALSE,FALSE,90.35
resnet18,64,0.0001,FALSE,TRUE,61.5
resnet18,64,0.0001,TRUE,FALSE,90.61
resnet18,64,0.0001,TRUE,TRUE,62.01
resnet18,256,0.001,FALSE,FALSE,91.17
resnet18,256,0.001,FALSE,TRUE,61.18
resnet18,256,0.001,TRUE,FALSE,91.67
resnet18,256,0.001,TRUE,TRUE,63.67
resnet18,256,0.0001,FALSE,FALSE,89.16
resnet18,256,0.0001,FALSE,TRUE,47.92
resnet18,256,0.0001,TRUE,FALSE,89.26
resnet18,256,0.0001,TRUE,TRUE,62.21
resnet34,64,0.001,FALSE,FALSE,91.8
resnet34,64,0.001,FALSE,TRUE,57.75
resnet34,64,0.001,TRUE,FALSE,91.63
resnet34,64,0.001,TRUE,TRUE,67.27
resnet34,64,0.0001,FALSE,FALSE,89.87
resnet34,64,0.0001,FALSE,TRUE,56.13
resnet34,64,0.0001,TRUE,FALSE,91.01
resnet34,64,0.0001,TRUE,TRUE,66.29
resnet34,256,0.001,FALSE,FALSE,90.97
resnet34,256,0.001,FALSE,TRUE,60.24
resnet34,256,0.001,TRUE,FALSE,91.67
resnet34,256,0.001,TRUE,TRUE,63.22
resnet34,256,0.0001,FALSE,FALSE,88.85
resnet34,256,0.0001,FALSE,TRUE,44
resnet34,256,0.0001,TRUE,FALSE,90.11
resnet34,256,0.0001,TRUE,TRUE,60.54
resnet50,64,0.001,FALSE,FALSE,91.71
resnet50,64,0.001,FALSE,TRUE,51.78
resnet50,64,0.001,TRUE,FALSE,91.85
resnet50,64,0.001,TRUE,TRUE,61.92
resnet50,64,0.0001,FALSE,FALSE,88.94
resnet50,64,0.0001,FALSE,TRUE,43.87
resnet50,64,0.0001,TRUE,FALSE,90.59
resnet50,64,0.0001,TRUE,TRUE,58.14
resnet50,256,0.001,FALSE,FALSE,90.51
resnet50,256,0.001,FALSE,TRUE,53.1
resnet50,256,0.001,TRUE,FALSE,91.39
resnet50,256,0.001,TRUE,TRUE,51.91
resnet50,256,0.0001,FALSE,FALSE,86.69
resnet50,256,0.0001,FALSE,TRUE,37.65
resnet50,256,0.0001,TRUE,FALSE,89.63
resnet50,256,0.0001,TRUE,TRUE,35.17
vgg11_bn,64,0.001,FALSE,FALSE,92.27
vgg11_bn,64,0.001,FALSE,TRUE,41.74
vgg11_bn,64,0.001,TRUE,FALSE,92.65
vgg11_bn,64,0.001,TRUE,TRUE,63.61
vgg11_bn,64,0.0001,FALSE,FALSE,92.68
vgg11_bn,64,0.0001,FALSE,TRUE,67.96
vgg11_bn,64,0.0001,TRUE,FALSE,92.96
vgg11_bn,64,0.0001,TRUE,TRUE,77.76
vgg11_bn,256,0.001,FALSE,FALSE,91.65
vgg11_bn,256,0.001,FALSE,TRUE,36.27
vgg11_bn,256,0.001,TRUE,FALSE,92.73
vgg11_bn,256,0.001,TRUE,TRUE,68.77
vgg11_bn,256,0.0001,FALSE,FALSE,92.28
vgg11_bn,256,0.0001,FALSE,TRUE,62.77
vgg11_bn,256,0.0001,TRUE,FALSE,91.98
vgg11_bn,256,0.0001,TRUE,TRUE,74.65
