Training starts ...
Finished model initialization....
epoch: 0	train: 30.71833%	test: 30.20000%
0 step model saved ...
epoch: 1	train: 45.89000%	test: 45.08000%
1 step model saved ...
epoch: 2	train: 42.40833%	test: 41.55000%
epoch: 3	train: 40.98667%	test: 39.93000%
epoch: 4	train: 36.75000%	test: 36.06000%
epoch: 5	train: 39.63000%	test: 39.18000%
epoch: 6	train: 30.14000%	test: 29.95000%
epoch: 7	train: 32.19667%	test: 31.64000%
epoch: 8	train: 28.56167%	test: 28.12000%
epoch: 9	train: 30.03333%	test: 29.61000%
epoch: 10	train: 30.40167%	test: 30.15000%
epoch: 11	train: 29.61500%	test: 29.57000%
epoch: 12	train: 30.40000%	test: 30.22000%
epoch: 13	train: 32.47000%	test: 32.56000%
epoch: 14	train: 31.39167%	test: 31.39000%
epoch: 15	train: 29.14333%	test: 29.13000%
epoch: 16	train: 30.43500%	test: 30.44000%
epoch: 17	train: 31.63167%	test: 31.52000%
epoch: 18	train: 33.53500%	test: 33.27000%
epoch: 19	train: 31.78000%	test: 31.55000%
epoch: 20	train: 27.43833%	test: 27.67000%
epoch: 21	train: 32.17000%	test: 31.86000%
epoch: 22	train: 31.86667%	test: 31.72000%
epoch: 23	train: 33.83333%	test: 33.66000%
epoch: 24	train: 33.47333%	test: 33.20000%
epoch: 25	train: 34.34833%	test: 34.11000%
epoch: 26	train: 33.37333%	test: 33.19000%
epoch: 27	train: 34.67167%	test: 34.47000%
epoch: 28	train: 33.63000%	test: 33.44000%
epoch: 29	train: 33.61667%	test: 33.47000%
epoch: 30	train: 33.19333%	test: 33.07000%
epoch: 31	train: 34.44167%	test: 34.17000%
epoch: 32	train: 30.62333%	test: 30.52000%
epoch: 33	train: 33.89333%	test: 33.70000%
epoch: 34	train: 32.72333%	test: 32.62000%
epoch: 35	train: 32.72333%	test: 32.55000%
epoch: 36	train: 33.43333%	test: 33.21000%
epoch: 37	train: 33.30833%	test: 33.03000%
epoch: 38	train: 32.31667%	test: 32.11000%
epoch: 39	train: 32.66333%	test: 32.41000%
epoch: 40	train: 33.70500%	test: 33.32000%
epoch: 41	train: 32.73833%	test: 32.56000%
epoch: 42	train: 34.65667%	test: 34.22000%
epoch: 43	train: 34.72667%	test: 34.22000%
epoch: 44	train: 32.79000%	test: 32.52000%
epoch: 45	train: 34.18667%	test: 33.71000%
epoch: 46	train: 32.96667%	test: 32.77000%
epoch: 47	train: 33.13333%	test: 32.92000%
epoch: 48	train: 34.40667%	test: 33.90000%
epoch: 49	train: 32.91833%	test: 32.55000%
Finished training
best_test_acc:45.08000%
